date,state,daily
7/15/21,Terengganu,12088
7/15/21,W.P. Kuala Lumpur,72612
7/15/21,W.P. Labuan,2508
7/15/21,W.P. Putrajaya,2652
7/16/21,Johor,18031
7/16/21,Kedah,12153
7/16/21,Kelantan,2196
7/16/21,Melaka,12833
7/16/21,Negeri Sembilan,22917
7/16/21,Pahang,13098
7/16/21,Perak,20759
7/16/21,Perlis,3400
7/16/21,Pulau Pinang,23843
7/16/21,Sabah,21394
7/16/21,Sarawak,71651
7/16/21,Selangor,115800
7/16/21,Terengganu,2476
7/16/21,W.P. Kuala Lumpur,69241
7/16/21,W.P. Labuan,2291
7/16/21,W.P. Putrajaya,2543
7/17/21,Johor,22273
7/17/21,Kedah,13253
7/17/21,Kelantan,2184
7/17/21,Melaka,13146
7/17/21,Negeri Sembilan,19207
7/17/21,Pahang,6770
7/17/21,Perak,14696
7/17/21,Perlis,196
7/17/21,Pulau Pinang,19185
7/17/21,Sabah,23425
7/17/21,Sarawak,68159
7/17/21,Selangor,104229
7/17/21,Terengganu,16200
7/17/21,W.P. Kuala Lumpur,64675
7/17/21,W.P. Labuan,2125
7/17/21,W.P. Putrajaya,2304
7/18/21,Johor,17219
7/18/21,Kedah,19470
7/18/21,Kelantan,16427
7/18/21,Melaka,2851
7/18/21,Negeri Sembilan,18907
7/18/21,Pahang,2498
7/18/21,Perak,13040
7/18/21,Perlis,3240
7/18/21,Pulau Pinang,17902
7/18/21,Sabah,14430
7/18/21,Sarawak,55631
7/18/21,Selangor,94223
7/18/21,Terengganu,7828
7/18/21,W.P. Kuala Lumpur,65758
7/18/21,W.P. Labuan,2027
7/18/21,W.P. Putrajaya,2880
7/19/21,Johor,26926
7/19/21,Kedah,15516
7/19/21,Kelantan,17528
7/19/21,Melaka,12424
7/19/21,Negeri Sembilan,16986
7/19/21,Pahang,15177
7/19/21,Perak,16894
7/19/21,Perlis,1396
7/19/21,Pulau Pinang,22471
7/19/21,Sabah,20633
7/19/21,Sarawak,57871
7/19/21,Selangor,122530
7/19/21,Terengganu,5881
7/19/21,W.P. Kuala Lumpur,81752
7/19/21,W.P. Labuan,2425
7/19/21,W.P. Putrajaya,2923
7/20/21,Johor,28117
7/20/21,Kedah,1750
7/20/21,Kelantan,64
7/20/21,Melaka,3098
7/20/21,Negeri Sembilan,8392
7/20/21,Pahang,1925
7/20/21,Perak,4699
7/20/21,Perlis,92
7/20/21,Pulau Pinang,14638
7/20/21,Sabah,9968
7/20/21,Sarawak,50931
7/20/21,Selangor,111152
7/20/21,Terengganu,781
7/20/21,W.P. Kuala Lumpur,71528
7/20/21,W.P. Labuan,59
7/20/21,W.P. Putrajaya,2641
7/21/21,Johor,38856
7/21/21,Kedah,5902
7/21/21,Kelantan,1671
7/21/21,Melaka,12025
7/21/21,Negeri Sembilan,18730
7/21/21,Pahang,18400
7/21/21,Perak,21860
7/21/21,Perlis,153
7/21/21,Pulau Pinang,24711
7/21/21,Sabah,28475
7/21/21,Sarawak,61057
7/21/21,Selangor,131494
7/21/21,Terengganu,7593
7/21/21,W.P. Kuala Lumpur,79993
7/21/21,W.P. Labuan,2732
7/21/21,W.P. Putrajaya,3028
7/22/21,Johor,36499
7/22/21,Kedah,16344
7/22/21,Kelantan,15334
7/22/21,Melaka,13208
7/22/21,Negeri Sembilan,24128
7/22/21,Pahang,18977
7/22/21,Perak,31934
7/22/21,Perlis,3072
7/22/21,Pulau Pinang,30143
7/22/21,Sabah,32585
7/22/21,Sarawak,55985
7/22/21,Selangor,135629
7/22/21,Terengganu,9019
7/22/21,W.P. Kuala Lumpur,88723
7/22/21,W.P. Labuan,2229
7/22/21,W.P. Putrajaya,3841
7/23/21,Johor,30292
7/23/21,Kedah,12872
7/23/21,Kelantan,1628
7/23/21,Melaka,12844
7/23/21,Negeri Sembilan,22184
7/23/21,Pahang,15263
7/23/21,Perak,32164
7/23/21,Perlis,3390
7/23/21,Pulau Pinang,30125
7/23/21,Sabah,36111
7/23/21,Sarawak,48958
7/23/21,Selangor,136912
7/23/21,Terengganu,2587
7/23/21,W.P. Kuala Lumpur,87612
7/23/21,W.P. Labuan,1589
7/23/21,W.P. Putrajaya,2976
7/24/21,Johor,31074
7/24/21,Kedah,15395
7/24/21,Kelantan,764
7/24/21,Melaka,10400
7/24/21,Negeri Sembilan,18290
7/24/21,Pahang,14939
7/24/21,Perak,28795
7/24/21,Perlis,2125
7/24/21,Pulau Pinang,24881
7/24/21,Sabah,30940
