date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/13/21,Perak,3871,4482,8353,0,0,236453,131685,368138,1,0,3525,259,247,4221,99,0,0,2
6/13/21,Perlis,0,1,1,0,0,43260,22319,65579,0,0,0,1,0,0,0,0,0,0
6/13/21,Pulau Pinang,1996,0,1996,0,0,155175,78646,233821,0,0,0,0,0,0,1996,0,0,0
6/13/21,Sabah,8508,1218,9726,0,0,248077,110626,358703,6,0,7871,927,637,291,0,0,0,0
6/13/21,Sarawak,26425,7302,33727,0,0,333494,154396,487890,3,0,7901,4311,15757,2991,2763,0,0,4
6/13/21,Selangor,10877,0,10877,0,0,461142,172343,633485,1,0,40,0,6271,0,4566,0,0,0
6/13/21,Terengganu,3946,2414,6360,0,1,100303,61710,162013,0,1,2674,727,1272,1683,0,0,0,4
6/13/21,W.P. Kuala Lumpur,23758,13,23771,0,0,560983,126023,687006,4,0,897,5,12706,8,10154,0,0,1
6/13/21,W.P. Labuan,0,0,0,0,0,18212,13333,31545,0,0,0,0,0,0,0,0,0,0
6/13/21,W.P. Putrajaya,0,0,0,0,0,29378,16838,46216,0,0,0,0,0,0,0,0,0,0
6/14/21,Johor,15179,5443,20622,0,0,310593,136012,446605,2,0,10854,3293,1486,2149,2839,0,0,1
6/14/21,Kedah,4332,5665,9997,0,0,204393,91155,295548,0,0,3615,3524,716,2136,0,0,0,6
6/14/21,Kelantan,6686,3483,10169,0,0,158587,72249,230836,0,0,4284,342,2402,3141,0,0,0,0
6/14/21,Melaka,1608,1283,2891,0,0,77527,40115,117642,0,0,351,454,1245,829,12,0,0,0
6/14/21,Negeri Sembilan,4698,980,5678,0,0,112327,65190,177517,1,0,1267,803,3306,177,124,0,0,1
6/14/21,Pahang,3060,3422,6482,0,0,151264,96505,247769,0,0,2731,1767,329,1655,0,0,0,0
6/14/21,Perak,5753,4100,9853,1,0,242206,135785,377991,2,0,5298,605,452,3495,0,0,0,3
6/14/21,Perlis,1887,1276,3163,0,0,45147,23595,68742,0,0,1829,913,58,361,0,0,0,2
6/14/21,Pulau Pinang,7939,1759,9698,0,0,163114,80405,243519,0,0,4160,1115,776,644,3003,0,0,0
6/14/21,Sabah,10682,3178,13860,0,0,258759,113804,372563,6,0,7734,2171,2947,1007,0,0,0,1
6/14/21,Sarawak,33423,11021,44444,1,0,366917,165417,532334,4,0,1631,1734,28100,9287,3645,0,0,47
6/14/21,Selangor,24575,6313,30888,0,0,485717,178656,664373,1,0,4547,5252,14882,1059,5146,0,0,2
6/14/21,Terengganu,4034,2353,6387,0,0,104337,64063,168400,0,1,2645,348,1350,2003,36,0,0,5
6/14/21,W.P. Kuala Lumpur,21307,4429,25736,0,0,582290,130452,712742,4,0,2018,1985,9083,2442,10206,0,0,2
6/14/21,W.P. Labuan,1178,20,1198,0,0,19390,13353,32743,0,0,1178,20,0,0,0,0,0,0
6/14/21,W.P. Putrajaya,433,961,1394,0,0,29811,17799,47610,0,0,427,825,6,136,0,0,0,0
6/15/21,Johor,13335,7275,20610,0,0,323928,143287,467215,2,0,8205,1757,2235,5515,2895,0,0,3
6/15/21,Kedah,4296,4483,8779,0,0,208689,95638,304327,0,0,3417,3455,874,1026,1,0,0,6
6/15/21,Kelantan,8090,4214,12304,0,0,166677,76463,243140,0,0,4555,608,3535,3605,0,0,0,1
6/15/21,Melaka,2073,1263,3336,0,0,79600,41378,120978,0,0,924,756,1149,507,0,0,0,0
6/15/21,Negeri Sembilan,5520,2082,7602,1,0,117847,67272,185119,2,0,2963,845,2500,1237,54,0,0,3
